start,end,fmin,fmax,category
4.97,4.99,,,
13.000175321045376,13.02,,,
13.05,13.07,,,
13.46,13.47,,,
14.01,14.03,,,
18.09052222439221,18.11,,,
18.13,18.14,,,
19.06,19.09,,,
19.12,19.122667744486105,,,
21.63,21.66,,,
24.22,24.26,,,
24.6,24.66,,,
24.67,24.69,,,
24.80707142118897,24.82,,,
24.83,24.87,,,
24.99,25.02,,,
25.03,25.09,,,
25.21,25.23,,,
25.24,25.27,,,
25.29,25.33,,,
25.34,25.37,,,
25.55,25.57,,,
25.63,25.65,,,
25.69,25.73,,,
27.28132334059193,27.32,,,
27.5030589201053,27.56,,,
27.59,27.62,,,
27.775632338978,27.81,,,
31.99,32.0,,,
36.08,36.11,,,
36.82,36.86,,,
36.88,36.9,,,
36.98505775650342,37.01,,,
37.28770867576202,37.34,,,
37.403113930551775,37.43,,,
37.65,37.67,,,
37.73767002164608,37.76,,,
42.044586226826624,42.08,,,
42.1,42.10199717364141,,,
42.11546723554532,42.16,,,
42.63906536654348,42.66,,,
42.723085608255296,42.75,,,
43.22,43.27,,,
43.35,43.37,,,
43.978519825041296,44.0,,,
48.93391039954765,48.97,,,
49.5,49.52,,,
53.41602697576795,53.44,,,
55.45710310127054,55.47,,,
56.39385168050016,56.4,,,
68.05,68.05602541993062,,,
68.06202296880029,68.09,,,
70.03,70.05,,,
70.47,70.48,,,
70.49,70.52,,,
70.94544957898911,70.99,,,
71.09911482002053,71.13,,,
74.17168889995132,74.18,,,
74.22850691473201,74.24,,,
75.85626348793507,75.87,,,
76.37995335617236,76.39,,,
88.49,88.51,,,
88.53,88.55,,,
88.56,88.58,,,
88.59,88.61019602642173,,,
88.75515667380321,88.76,,,
88.94633068429573,88.96,,,
93.02246927464292,93.04,,,
97.10613409055132,97.11,,,
97.13,97.18,,,
97.28478977475848,97.29,,,
102.52056149166256,102.53,,,
107.6246234559729,107.64,,,
120.55367674423115,120.57,,,
122.03411827504635,122.04,,,
122.16831313815854,122.19,,,
122.31,122.32769095941669,,,
126.55267100930214,126.56,,,
127.12709593155554,127.13,,,
127.80237052263249,127.83,,,
127.86,127.87126978867111,,,
127.89684937102454,127.96,,,
133.26,133.27,,,
133.4841117572359,133.51,,,
133.52,133.52426289874882,,,
152.22639105152518,152.24,,,
154.04,154.07,,,
154.76984350242785,154.77,,,
154.8,154.81629461169243,,,
155.09,155.13,,,
155.9,155.9216679916921,,,
155.94543606235868,156.0,,,
158.54397426618,158.55,,,
163.27,163.29,,,
163.31464606076477,163.33,,,
167.36,167.39,,,
169.38761804671515,169.4,,,
170.55141056407064,170.57,,,
171.32578440130465,171.33,,,
171.97196528483005,171.98,,,
174.03,174.06,,,
174.6639394825697,174.69,,,
174.71,174.75,,,
174.78,174.8,,,
175.09,175.11,,,
175.37,175.39,,,
182.0336338676441,182.08,,,
190.36613270671597,190.37,,,
190.38,190.39,,,
190.64197995540644,190.66,,,
191.0725980619164,191.09,,,
191.59391567502703,191.83,,,
191.89,191.91,,,
191.95,191.97714928866853,,,
192.75,192.76,,,
192.81,192.8559162964565,,,
192.8638861445586,192.87,,,
193.37,193.38,,,
193.4653347604757,193.48,,,
198.03,198.05,,,
199.2327527451657,199.24,,,
199.56,199.57386257306453,,,
199.62,199.64,,,
199.66,199.68,,,
199.84,199.85,,,
199.92,199.93,,,
199.97,199.98,,,
210.07,210.08,,,
222.1238736475649,222.17570756612787,,,
222.17613285855168,222.22,,,
222.26,222.2941497039369,,,
222.33,222.35,,,
222.49,222.51554361271008,,,
222.81,222.81121413781528,,,
223.42613460539351,223.4687003523821,,,
223.50150114137503,223.55,,,
223.67,223.68,,,
223.6965116587991,223.7,,,
235.466392672658,235.47,,,
236.07190423815024,236.09,,,
236.12,236.1687141965968,,,
236.2007002590242,236.22,,,
251.37,251.39050024502336,,,
251.4338608708836,251.49,,,
252.68,252.68477871227836,,,
252.75427560733897,252.78,,,
252.97,253.01926375712668,,,
253.0360012572862,253.16619818860576,,,
253.18,253.4,,,
253.41,253.46788108282144,,,
253.4853594642452,253.59,,,
253.7969806174295,253.82,,,
255.29,255.31596252703952,,,
255.34858961610567,255.35,,,
255.37,255.4,,,
255.51304818665696,255.53,,,
255.75,255.77,,,
256.02,256.03,,,
256.06,256.08,,,
256.1,256.11,,,
256.18,256.2,,,
256.52,256.53,,,
257.14,257.14490628639857,,,
265.87,265.89,,,
268.44,268.4514397885686,,,
268.5280583212915,268.55,,,
269.43,269.47,,,
269.56,269.5601707214117,,,
269.8679316560996,269.87,,,
283.04131551330994,283.09,,,
283.16,283.17456549813346,,,
283.2365644732827,283.28,,,
283.36,283.37404106655293,,,
283.97355059636493,283.99,,,
284.07,284.09,,,
284.1,284.1139404602704,,,
284.96,284.9791668891339,,,
301.18,301.2,,,
301.44,301.4700885502355,,,
308.11,308.12065831559045,,,
308.6178057119676,308.63,,,
309.44,309.5059449733439,,,
312.4657467538544,312.48,,,
